y1_HG_x,y1_HG_y,y1_LC1_x,y1_LC1_y,y1_LC2_x,y1_LC2_y,y3_HG_x,y3_HG_y,y3_LC1_x,y3_LC1_y,y3_LC2_x,y3_LC2_y,y2_HG_x,y2_HG_y,y2_LC1_x,y2_LC1_y,y2_LC2_x,y2_LC2_y,y4_HG_x,y4_HG_y,y4_LC1_x,y4_LC1_y,y4_LC2_x,y4_LC2_y
,,,,,,,,0.018394534,989128.9041,0.01199876,1197417.573,,,,,,,,,,,,
,,,,,,,,0.018006832,1025490.84,0.011616047,1245581.526,,,,,,,,,,,,
,,,,,,,,0.017619428,1063369.096,0.011623725,1284738.73,,,,,,,,,,,,
,,,,,,,,0.017231725,1099731.032,0.011238649,1320854.312,,,,,,,,,,,,
,,,,,,,,0.016843726,1134576.649,0.010858299,1381066.635,,,,,,,,,,,,
,,,,,,,,0.016455875,1170180.426,0.010474995,1426218.495,,,,,,,,,,,,
,,,,,,,,0.016067876,1205026.042,0.01009051,1465346.169,,,,,,,,,,,,
,,,,,,,,0.015681809,1249727.736,0.009317407,1522516.869,,,,,,,,,,,,
,,,,,,,,0.014903035,1305266.654,0.00854194,1567639.199,,,,,,,,,,,,
,,,,,,,,0.014123816,1358531.093,,,,,,,,,,,,,,
,,,,,,,,0.013383217,1407401.179,,,,,,,,,,,,,,
,,,,,,,,0.013153867,1445897.855,,,,,,,,,,,,,,
,,,,,,,,0.011977381,1486749.286,,,,,,,,,,,,,,
,,,,,,,,0.010887238,1528659.176,,,,,,,,,,,,,,
,,,,,,,,0.010502163,1564774.757,,,,,,,,,,,,,,
